experiment_id	run_id	experiment_date	culture_media	baseline_signal	cells_per_well	growth_mode	snp_fp_status	master_ccl_id
1	7024-01-A01-02-01	20120501	DMEM001	2.225e-001	500	adherent	SNP-matched-reference	130
2	7024-01-A01-02-01	20120501	DMEM001	2.225e-001	500	adherent	SNP-matched-reference	569
3	7024-01-A01-02-01	20120501	RPMI001	1.195e-001	500	adherent	SNP-matched-reference	682
4	7024-01-A01-02-02	20120504	DMEM001	2.225e-001	500	adherent	SNP-unconfirmed	9
5	7024-01-A01-02-02	20120504	DMEM001	2.225e-001	500	adherent	SNP-matched-reference	61
6	7024-01-A01-02-02	20120504	DMEM001	2.225e-001	500	adherent	SNP-matched-reference	62
7	7024-01-A01-02-02	20120504	RPMI001	1.195e-001	500	adherent	SNP-matched-reference	108
8	7024-01-A01-02-02	20120504	DMEM001	2.225e-001	500	adherent	SNP-matched-reference	111
9	7024-01-A01-02-02	20120504	DMEM001	2.225e-001	500	adherent	SNP-matched-reference	115
10	7024-01-A01-02-02	20120504	DMEM001	2.225e-001	500	adherent	SNP-matched-reference	119
11	7024-01-A01-02-02	20120504	RPMI001	1.195e-001	500	adherent	SNP-matched-reference	455
12	7024-01-A01-02-02	20120504	DMEM001	2.225e-001	500	adherent	SNP-matched-reference	855
13	7024-01-A01-02-02	20120504	DMEM001	2.225e-001	500	adherent	SNP-matched-reference	991
14	7024-01-A01-02-03	20120507	DMEM001	2.225e-001	500	adherent	SNP-unconfirmed	8
15	7024-01-A01-02-03	20120507	RPMI001	1.195e-001	500	adherent	SNP-matched-reference	46
16	7024-01-A01-02-03	20120507	RPMI001	1.195e-001	500	adherent	SNP-matched-reference	349
17	7024-01-A01-02-03	20120507	RPMI001	1.195e-001	500	adherent	SNP-matched-reference	1095
18	7024-01-A01-02-03	20120507	RPMI001	1.195e-001	500	adherent	SNP-matched-reference	1030
19	7024-01-A01-02-03	20120507	RPMI001	1.195e-001	500	adherent	SNP-matched-reference	1110
20	7024-01-A01-02-03	20120507	RPMI001	1.195e-001	500	adherent	SNP-unconfirmed	1117
